Year,playerId,season,Name,Team,position,Situation,GP,TOI,XGA,GA,UnblockedSA,xRebounds,rebounds,xFreeze,freeze,xOnGoal,ongoal,xPlayStopped,playStopped,xPlayContinuedInZone,playContinuedInZone,xPlayContinuedOutsideZone,playContinuedOutsideZone,flurryAdjustedxGoals,lowDangerShots,mediumDangerShots,highDangerShots,lowDangerxGoals,mediumDangerxGoals,highDangerxGoals,lowDangerGoals,mediumDangerGoals,highDangerGoals,blocked_shot_attempts,penalityMinutes,penalties,Year,NameYear,Votes
2008,8471305,2008,Daniel Lacosta,CBJ,G,all,3,9341,5.7,4,141,4.99,3,18.38,11,78.59,80,2.28,2,44.85,34,34.65,54,5.46,96,9,7,2.34,0.95,2.41,2,1,1,29,0,0,2008,Daniel Lacosta2008,0
2008,8471305,2008,Daniel Lacosta,CBJ,G,5on5,3,7704,3.6,3,103,3.45,2,13.95,7,56.36,56,1.95,2,32.26,25,24.98,39,3.49,71,5,5,1.85,0.58,1.17,2,1,0,22,0,0,2008,Daniel Lacosta2008,0
2008,8471305,2008,Daniel Lacosta,CBJ,G,4on5,3,1037,1.77,1,29,1.26,1,3.23,2,15.64,16,0.05,0,10.13,8,5.12,10,1.64,17,3,2,0.27,0.27,1.24,0,0,1,7,0,0,2008,Daniel Lacosta2008,0
2008,8471305,2008,Daniel Lacosta,CBJ,G,5on4,3,412,0.17,0,5,0.12,0,0.5,1,3.68,4,0.13,0,1.1,0,3.01,3,0.17,4,1,0,0.06,0.1,0,0,0,0,0,0,0,2008,Daniel Lacosta2008,0
2008,8448535,2008,Olie Kolzig,T.B,G,other,8,741,2.12,3,29,1.29,1,3.46,2,16,18,0.15,0,10.97,13,4.6,5,1.58,20,2,2,0.46,0.2,1.45,2,0,1,5,0,0,2008,Olie Kolzig2008,0
2008,8448535,2008,Olie Kolzig,T.B,G,all,8,24603,18.7,25,413,15.13,14,49.85,35,218.9,245,5.65,7,126.52,117,94.16,116,17.55,238,59,16,6.47,6.66,5.57,6,12,7,100,0,0,2008,Olie Kolzig2008,0
2008,8448535,2008,Olie Kolzig,T.B,G,5on5,8,17939,11.28,16,280,9.53,11,36.02,23,149.9,169,4.03,5,84.28,76,65.06,81,10.96,164,39,8,4.71,4.52,2.05,4,8,4,69,0,0,2008,Olie Kolzig2008,0
2008,8448535,2008,Olie Kolzig,T.B,G,4on5,8,2676,4.89,6,87,4.02,2,9.23,7,43.69,46,0.09,0,28.5,27,15.37,20,4.6,40,18,6,0.89,1.94,2.06,0,4,2,23,0,0,2008,Olie Kolzig2008,0
2008,8448535,2008,Olie Kolzig,T.B,G,5on4,8,3247,0.41,0,17,0.29,0,1.15,3,9.3,12,1.38,2,2.76,1,9.13,10,0.41,14,0,0,0.41,0,0,0,0,0,3,0,0,2008,Olie Kolzig2008,0
2008,8468550,2008,Mikael Tellqvist,BUF,G,other,21,1465,2.52,6,46,1.5,2,3.22,5,16.9,23,0.38,0,11.18,12,5.5,6,2.35,20,9,2,0.97,1.04,0.51,2,4,0,15,0,0,2008,Mikael Tellqvist2008,0
2008,8468550,2008,Mikael Tellqvist,BUF,G,all,21,60449,45.21,47,957,33.09,25,108.38,121,485.7,533,15.25,15,278.31,257,212.35,277,43.96,583,120,32,17.7,14.48,13.03,13,19,15,222,0,0,2008,Mikael Tellqvist2008,0
2008,8468550,2008,Mikael Tellqvist,BUF,G,5on5,21,46183,28.28,27,704,22.71,17,84.39,96,359.16,405,11.43,12,203.77,181,159.34,212,27.74,440,86,15,13.71,10.43,4.15,8,13,6,163,0,0,2008,Mikael Tellqvist2008,0
2008,8468550,2008,Mikael Tellqvist,BUF,G,4on5,21,6180,12.48,13,173,7.88,4,18.37,18,91.09,87,0.29,0,57.67,53,32.77,45,11.99,100,19,14,2.29,2.22,7.97,3,2,8,40,0,0,2008,Mikael Tellqvist2008,0
2008,8468550,2008,Mikael Tellqvist,BUF,G,5on4,21,6621,1.92,1,34,1,2,2.4,2,18.54,18,3.16,3,5.69,11,14.75,14,1.89,23,6,1,0.72,0.79,0.41,0,0,1,4,0,0,2008,Mikael Tellqvist2008,0
2008,8470772,2008,Chris Holt,STL,G,other,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,Chris Holt2008,0
2008,8470772,2008,Chris Holt,STL,G,all,1,1113,0.16,0,8,0.18,0,0.58,1,2.94,3,0.38,1,1.54,0,1.46,3,0.16,4,0,0,0.16,0,0,0,0,0,4,0,0,2008,Chris Holt2008,0
2008,8470772,2008,Chris Holt,STL,G,5on5,1,739,0.12,0,2,0.11,0,0.25,0,1.39,1,0.13,0,0.89,0,0.59,2,0.12,2,0,0,0.12,0,0,0,0,0,0,0,0,2008,Chris Holt2008,0
2008,8470772,2008,Chris Holt,STL,G,4on5,1,130,0.01,0,4,0.04,0,0.21,1,0.76,1,0.09,1,0.39,0,0.32,0,0.01,1,0,0,0.01,0,0,0,0,0,3,0,0,2008,Chris Holt2008,0
2008,8470772,2008,Chris Holt,STL,G,5on4,1,238,0.03,0,2,0.03,0,0.12,0,0.8,1,0.16,0,0.26,0,0.55,1,0.03,1,0,0,0.03,0,0,0,0,0,1,0,0,2008,Chris Holt2008,0
2008,8468481,2008,Rick DiPietro,NYI,G,other,5,254,0.05,1,4,0.07,0,0.36,1,1.66,2,0.78,3,0.8,0,1.67,1,0.05,3,0,0,0.05,0,0,1,0,0,1,0,0,2008,Rick DiPietro2008,0
2008,8468481,2008,Rick DiPietro,NYI,G,all,5,15359,11.39,15,258,10.09,13,31.98,27,137.88,139,4.77,5,81.31,74,56.88,58,10.93,152,31,13,3.51,3.65,4.23,4,4,7,62,2,1,2008,Rick DiPietro2008,0
2008,8468481,2008,Rick DiPietro,NYI,G,5on5,5,12021,7.86,11,200,6.92,9,24.88,23,103.37,104,3.44,1,59.32,48,43.81,46,7.68,114,22,10,2.58,2.65,2.64,2,4,5,54,2,1,2008,Rick DiPietro2008,0
2008,8468481,2008,Rick DiPietro,NYI,G,4on5,5,2000,3.41,3,50,3.05,4,6.52,3,31.36,31,0.07,0,20.67,26,10.31,9,3.13,33,9,3,0.8,1.01,1.6,1,0,2,5,0,0,2008,Rick DiPietro2008,0
2008,8468481,2008,Rick DiPietro,NYI,G,5on4,5,1084,0.08,0,4,0.06,0,0.22,0,1.5,2,0.49,1,0.52,0,1.08,2,0.08,2,0,0,0.08,0,0,0,0,0,2,0,0,2008,Rick DiPietro2008,0
2008,8448382,2008,Curtis Joseph,TOR,G,other,20,1644,1.34,1,37,1.02,0,3.2,4,16.05,19,0.51,0,9.02,7,8.01,11,1.3,18,6,0,0.63,0.71,0,0,1,0,13,0,0,2008,Curtis Joseph2008,0
